UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
11,0,23,8,12,800,1.603807616
11,1,23,2,12,1150,1.739789827
11,1,35,8,15,880,1.760443822
11,0,46,2,6,3500,1.783157945
11,1,47,8,9,150,1.690630954
11,1,34,8,12,790,1.637905598
11,0,57,8,12,3150,1.570078218
11,1,60,8,12,1700,1.608495442
11,1,50,4,14,1800,1.780328883
11,1,50,8,9,1000,1.775830515
11,1,48,8,15,1000,1.776593531
11,1,36,8,9,1300,1.662675412
11,0,33,8,12,788,1.728649124
11,1,24,4,16,2500,1.73401874
11,0,55,8,12,3000,1.674616876
11,0,38,8,2,1700,1.750534124
11,1,59,2,12,3200,1.599326047
11,0,37,8,12,1800,1.735564323
11,1,45,2,12,800,1.71992514
11,0,40,8,16,5500,1.701502321
11,0,43,2,12,3500,1.608656186
11,1,22,8,10,788,1.695728684
11,1,49,8,9,900,1.683232909
11,1,40,0,4,900,1.662915384
11,1,44,8,5,700,1.718729117
11,0,54,8,9,780,1.790763378
11,1,53,8,9,788,1.756525875
11,1,42,8,5,850,1.787786535
11,1,43,2,11,1500,1.771291987
11,1,59,8,6,300,1.78165001
11,0,36,8,12,3000,1.663732988
11,0,40,0,12,2500,1.536050239
11,1,39,8,12,1200,1.419618456
11,1,41,2,15,3500,1.823266515
11,1,34,2,16,3500,1.838548885
11,0,40,8,12,2000,1.82543984
11,1,37,8,8,800,1.629946598
11,0,43,8,10,1150,1.603255879
11,0,36,2,12,1900,1.677802145
11,0,46,8,12,1400,1.643106808
11,0,32,8,10,1300,1.707614337
11,0,26,2,14,960,1.876895953
11,0,35,8,12,900,1.808651496
11,0,35,8,12,2400,1.808315778
11,0,36,4,7,2000,1.701595416
11,1,32,2,16,2100,1.660058292
11,1,43,2,15,1900,1.610528858
11,0,22,8,10,1200,1.714157607
11,0,35,8,12,1900,1.570984493
11,0,28,8,11,1600,1.482956365
11,1,29,2,16,12500,1.735649839
11,0,36,8,16,5000,1.629585092
11,0,54,8,9,5000,1.615366013
11,1,53,8,16,6800,1.540516845
11,1,53,2,16,4000,1.780503606
11,1,27,8,16,2200,1.610457277
11,0,66,2,16,5000,1.613725512
11,1,33,2,16,10000,1.757384491
11,0,29,8,12,3000,1.693517771
11,1,38,2,12,1000,1.629281528
11,0,51,8,12,3000,1.804489156
11,0,31,2,12,1400,1.756453952
